GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,income_group
220190014004,12,1771,405,1366,25239.0,541,132.0,538.4000088721514,43.01506398762484,0.0,0.0,0.0,0.0,13.0,0.9230769230769231,0.22868435911914173,1
220170243014,21,2046,301,1683,29107.0,917,100.0,76.8967928255214,18.82024670626791,0.0,0.0,0.0,0.0,9.0,2.3333333333333335,0.14711632453567938,1
220170243031,6,1818,186,1616,24563.0,1042,142.0,90.20088272962641,19.030802444938647,0.0,0.0,0.0,0.0,9.0,0.6666666666666666,0.10231023102310231,1
220170243034,11,895,690,82,40000.0,428,72.0,81.19999992847443,18.910669739731272,0.0,0.0,0.0,0.0,17.666666666666668,0.6226415094339622,0.770949720670391,1
221119601004,17,1783,1382,192,38079.0,699,115.0,243.62000700831413,24.490839152343398,0.0,0.0,0.0,0.0,20.0,0.85,0.7750981491867639,1
220790103002,8,2039,1833,167,38603.0,647,96.0,418.4999978542328,33.25239797295881,0.0,0.0,0.0,0.0,20.333333333333332,0.3934426229508197,0.898970083374203,1
220170241072,13,2300,655,1645,40000.0,742,102.0,123.33466437543854,19.429515437882117,0.0,0.0,0.0,0.0,21.333333333333332,0.609375,0.2847826086956522,1
220510267001,4,852,538,203,39309.0,307,82.0,128.0692747566311,34.86915333282266,2.91350605135,1.0,0.4559316,2.45757445135,6.666666666666667,0.6,0.6314553990610329,1
220550006041,13,1499,1253,131,40598.0,948,79.0,284.5957433572338,34.636684071415814,0.0,0.0,0.0,0.0,14.0,0.9285714285714286,0.8358905937291528,1
220550007001,9,2763,290,2471,28977.0,919,114.0,290.59249567916396,34.47293875768297,0.0,0.0,0.0,0.0,0.0,inf,0.10495837857401376,1
220170222002,0,991,114,877,24471.0,435,102.0,89.25381019620619,19.145535656470397,0.0,0.0,0.0,0.0,2.0,0.0,0.11503531786074672,1
220170222004,0,1603,87,1446,35469.0,600,86.0,85.39999878406525,19.084563144334737,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.054273237679351216,1
220170224001,0,931,66,836,31765.0,238,82.0,104.76706360137592,19.349836466196702,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.07089151450053706,1
220330025004,8,1410,1124,105,16917.0,745,90.0,155.83259049589057,29.597280240382076,0.0,0.0,0.0,0.0,6.666666666666667,1.2,0.7971631205673759,1
220330047002,19,1122,509,542,40278.0,468,84.0,311.99999421834946,28.99210452153352,0.0,0.0,0.0,0.0,23.666666666666668,0.8028169014084506,0.4536541889483066,1
220170250003,8,1392,988,385,30756.0,628,77.0,71.79999792575836,17.635885360133802,0.0,0.0,0.0,0.0,4.0,2.0,0.7097701149425287,1
220170246025,4,2607,416,2132,13026.0,416,75.0,110.19999915361404,19.078070789434395,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.1595703874184887,1
221059540022,24,1751,515,1236,40433.0,686,100.0,126.20000010728836,28.51366717950509,0.0,0.0,0.0,0.0,20.333333333333332,1.180327868852459,0.29411764705882354,1
220399501002,25,1415,1314,0,27356.0,426,71.0,470.7899875640869,33.74474572467401,0.0,0.0,0.0,0.0,13.666666666666666,1.829268292682927,0.9286219081272085,1
220330039042,8,3393,768,2528,35693.0,1164,84.0,254.45598397571428,29.164627975954144,0.0,0.0,0.0,0.0,9.666666666666666,0.8275862068965518,0.22634836427939875,1
220690004002,14,1061,247,814,30029.0,422,73.0,355.6666646003723,29.442910659950076,0.0,0.0,0.0,0.0,7.333333333333333,1.9090909090909092,0.23279924599434496,1
221010407003,16,1105,779,206,28333.0,436,75.0,100.75344331445174,30.69655649693953,4.8087205303400005,1.0,1.9279748,2.88074573034,11.0,1.4545454545454546,0.7049773755656109,1
220430202001,29,1482,1260,151,40487.0,625,114.0,368.766667611897,32.70974427764906,0.0,0.0,0.0,0.0,24.333333333333332,1.1917808219178083,0.8502024291497976,1
220430204012,16,1479,1411,55,37083.0,475,109.0,381.39999771118164,32.51812142173071,0.0,0.0,0.0,0.0,25.666666666666668,0.6233766233766234,0.9540229885057471,1
220430204013,15,1068,894,28,31505.0,409,98.0,385.3249921798706,33.043465000834445,0.0,0.0,0.0,0.0,18.666666666666668,0.8035714285714285,0.8370786516853933,1
220690002002,18,2052,1562,409,29375.0,797,94.0,325.24443912506104,29.08369334889208,0.0,0.0,0.0,0.0,11.333333333333334,1.588235294117647,0.7612085769980507,1
221059539004,27,2575,1187,1110,36836.0,1063,130.0,135.7352167274817,28.42697347994492,0.0,0.0,0.0,0.0,16.0,1.6875,0.4609708737864078,1
220690006003,8,1562,151,1354,20132.0,520,98.0,355.9525253792887,29.065248013168457,0.0,0.0,0.0,0.0,9.333333333333334,0.8571428571428571,0.09667093469910372,1
