GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,race_group
220510251042,31,1801,774,810,63944.0,641,94.0,115.75706969584272,35.13058196049914,2.91350605135,1.0,-1.7748556,4.68836165135,25.666666666666668,1.2077922077922076,0.4297612437534703,1
220550014052,44,1872,1012,808,33256.0,868,78.0,285.2456349316221,33.96661906835687,0.0,0.0,0.0,0.0,25.666666666666668,1.7142857142857142,0.5405982905982906,1
220659602001,41,1954,893,1040,54236.0,329,104.0,179.25624583871104,25.242489659834234,0.0,0.0,0.0,0.0,32.333333333333336,1.268041237113402,0.4570112589559877,1
220510278041,29,1935,635,1064,,693,111.0,113.80774883046895,35.13333889586938,2.91350605135,1.0,-1.456953,4.37045905135,32.666666666666664,0.8877551020408164,0.3281653746770026,1
221159505004,17,1874,742,779,47857.0,716,91.0,337.9000120162964,32.60652467348225,0.0,0.0,0.0,0.0,15.333333333333334,1.108695652173913,0.3959445037353255,1
220510261002,22,2228,664,1393,31591.0,870,111.0,118.4127600185756,34.85691088202838,2.91350605135,1.0,-0.69513935,3.6086454013500004,34.333333333333336,0.6407766990291262,0.2980251346499102,1
220510205111,29,1488,844,331,76136.0,506,77.0,140.1951381207693,32.818086839502655,0.0,0.0,0.0,0.0,20.333333333333332,1.4262295081967213,0.5672043010752689,1
220510270002,44,2232,1059,681,92552.0,739,114.0,139.2745291343866,34.753304285939805,2.91350605135,1.0,0.3910024,2.52250365135,63.333333333333336,0.6947368421052631,0.47446236559139787,1
220619602002,29,1171,662,438,56908.0,459,73.0,236.18750405311584,25.36928146378152,0.0,0.0,0.0,0.0,30.666666666666668,0.9456521739130435,0.5653287788215201,1
220619610003,15,1786,1031,692,39205.0,743,133.0,254.11800169823695,26.405441010833663,0.0,0.0,0.0,0.0,24.0,0.625,0.5772676371780515,1
220170242011,55,2451,622,1688,61161.0,747,136.0,97.2999997138977,19.18160930112999,0.0,0.0,0.0,0.0,49.0,1.1224489795918366,0.2537739698082415,1
220170239051,54,2721,1242,1143,36719.0,1351,233.0,146.79999780654907,19.972728892563087,0.0,0.0,0.0,0.0,66.33333333333333,0.814070351758794,0.4564498346196251,1
